0x20000	𠀀	ghab
0x20001	𠀁	gnv
0x20002	𠀂	gnb
0x20003	𠀃	mgd
0x20004	𠀄	bgd
0x20005	𠀅	gntv
0x20006	𠀆	tfk
0x20007	𠀇	mfd
0x20008	𠀈	wngd
0x20009	𠀉	wfd
0x2000a	𠀊	dhu
0x2000b	𠀋	dyyi
0x2000c	𠀌	nhgg
0x2000d	𠀍	anv
0x2000e	𠀎	fjgd
0x2000f	𠀏	gbng
0x20010	𠀐	khgd
0x20011	𠀑	gmqv
0x20012	𠀒	gwgn
0x20013	𠀓	xhgf
0x20014	𠀔	gntw
0x20015	𠀕	gxgy
0x20016	𠀖	ayu
0x20017	𠀗	atu
0x20018	𠀘	gqgq
0x20019	𠀙	gmgm
0x2001a	𠀚	gciu
0x2001b	𠀛	fmwi
0x2001c	𠀜	gogd
0x2001d	𠀝	ghhf
0x2001e	𠀞	ghnn
0x2001f	𠀟	gnni
0x20020	𠀠	aqi
0x20021	𠀡	gtfq
0x20022	𠀢	ghxb
0x20023	𠀣	gmhg
0x20024	𠀤	ddgf
0x20025	𠀥	ghjg
0x20026	𠀦	gyth
0x20027	𠀧	cdd
0x20028	𠀨	ghey
0x20029	𠀩	gqgs
0x2002a	𠀪	adyu
0x2002b	𠀫	adtr
0x2002c	𠀬	glww
0x2002d	𠀭	tonb
0x2002e	𠀮	gwlq
0x2002f	𠀯	gliu
0x20030	𠀰	giit
0x20031	𠀱	giwq
0x20032	𠀲	sqqy
0x20033	𠀳	nywh
0x20034	𠀴	bmgh
0x20035	𠀵	smgr
0x20036	𠀶	girw
0x20037	𠀷	gkma
0x20038	𠀸	gmqn
0x20039	𠀹	gwmk
0x2003a	𠀺	gmiw
0x2003b	𠀻	fqjn
0x2003c	𠀼	dhqu
0x2003d	𠀽	gmhc
0x2003e	𠀾	giwc
0x2003f	𠀿	ghkw
0x20040	𠁀	anwa
0x20041	𠁁	nngg
0x20042	𠁂	ftjs
0x20043	𠁃	gigi
0x20044	𠁄	wgmh
0x20045	𠁅	gnty
0x20046	𠁆	gifh
0x20047	𠁇	gipg
0x20048	𠁈	ghmk
0x20049	𠁉	gmrg
0x2004a	𠁊	gwwd
0x2004b	𠁋	gigi
0x2004c	𠁌	gibb
0x2004d	𠁍	giud
0x2004e	𠁎	lpgh
0x2004f	𠁏	gkpg
0x20050	𠁐	gkmg
0x20051	𠁑	aqph
0x20052	𠁒	gifw
0x20053	𠁓	giww
0x20054	𠁔	uomn
0x20055	𠁕	gkhg
0x20056	𠁖	gmyh
0x20057	𠁗	fdjd
0x20058	𠁘	gmlo
0x20059	𠁙	giyf
0x2005a	𠁚	ghwj
0x2005b	𠁛	giup
0x2005c	𠁜	uogl
0x2005d	𠁝	uogt
0x2005e	𠁞	giwj
0x2005f	𠁟	uogo
0x20060	𠁠	egeg
0x20061	𠁡	hnv
0x20062	𠁢	hnv
0x20063	𠁣	vhk
0x20064	𠁤	lqv
0x20065	𠁥	tywh
0x20066	𠁦	khfd
0x20067	𠁧	khnh
0x20068	𠁨	nukh
0x20069	𠁩	fkhf
0x2006a	𠁪	tfkh
0x2006b	𠁫	nhws
0x2006c	𠁬	gjgh
0x2006d	𠁭	whwh
0x2006e	𠁮	wwwh
0x2006f	𠁯	khck
0x20070	𠁰	ghvg
0x20071	𠁱	gkhg
0x20072	𠁲	nhnj
0x20073	𠁳	dhdb
0x20074	𠁴	lqqh
0x20075	𠁵	khjw
0x20076	𠁶	khxt
0x20077	𠁷	kkhh
0x20078	𠁸	kkhf
0x20079	𠁹	khww
0x2007a	𠁺	kkhp
0x2007b	𠁻	kkhd
0x2007c	𠁼	iyyy
0x2007d	𠁽	wnv
0x2007e	𠁾	nnyi
0x2007f	𠁿	bgyi
0x20080	𠂀	ayd
0x20081	𠂁	jfyi
0x20082	𠂂	ymng
0x20083	𠂃	fiyy
0x20084	𠂄	myjn
0x20085	𠂅	yxty
0x20086	𠂆	rtt
0x20087	𠂇	dgt
0x20088	𠂈	nte
0x20089	𠂉	ttg
0x2008a	𠂊	qtn,qtnv
0x2008b	𠂋	rgd
0x2008c	𠂌	tfk
0x2008d	𠂍	ttnv
0x2008e	𠂎	qte
0x2008f	𠂏	egnv
0x20090	𠂐	eui
0x20091	𠂑	qyte
0x20092	𠂒	tfd
0x20093	𠂓	rcu
0x20094	𠂔	tnht
0x20095	𠂕	tfwi
0x20096	𠂖	tfre
0x20097	𠂗	qqi
0x20098	𠂘	rbyi
0x20099	𠂙	tfht
0x2009a	𠂚	tdtr
0x2009b	𠂛	thf
0x2009c	𠂜	thgg
0x2009d	𠂝	tkhk
0x2009e	𠂞	twgn
0x2009f	𠂟	tute
0x200a0	𠂠	tunb
0x200a1	𠂡	mfhk
0x200a2	𠂢	reu
0x200a3	𠂣	rvnv
0x200a4	𠂤	wnnd
0x200a5	𠂥	tmak
0x200a6	𠂦	thfh
0x200a7	𠂧	tqgc
0x200a8	𠂨	tmak
0x200a9	𠂩	wfwf
0x200aa	𠂪	eyhy
0x200ab	𠂫	yhen
0x200ac	𠂬	rcv
0x200ad	𠂭	qoi
0x200ae	𠂮	rghn
0x200af	𠂯	tafk
0x200b0	𠂰	rgnh
0x200b1	𠂱	hxeb
0x200b2	𠂲	tgoi
0x200b3	𠂳	qbxh
